id	rate
15001	95
15003	92
15009	67
6037	48
15007	42
6073	39
6071	36
41019	29
6029	26
6065	26
4005	25
2290	24
41039	24
53033	24
4013	23
16049	23
2090	21
4003	21
27137	21
2170	20
23003	20
4019	19
6053	19
6093	19
30029	19
2122	18
2261	18
16079	18
16085	18
30105	18
6023	17
8041	17
36103	17
41059	17
2020	16
4025	16
6089	16
30031	16
30071	16
32003	16
32007	16
41005	16
41029	16
48043	16
48201	16
2240	15
6079	15
6097	15
19153	15
20191	15
25027	15
26163	15
30013	15
41035	15
56029	15
6017	14
6083	14
17031	14
32031	14
33007	14
56007	14
56013	14
6045	13
6059	13
8069	13
8077	13
22017	13
26103	13
29095	13
30063	13
48439	13
53027	13
53073	13
6001	12
6057	12
6085	12
6111	12
9005	12
23019	12
30001	12
30027	12
41017	12
41037	12
41047	12
41051	12
53041	12
53061	12
53077	12
2110	11
2185	11
4001	11
4007	11
4017	11
4021	11
8059	11
8081	11
8101	11
9001	11
12087	11
16035	11
16059	11
22103	11
23029	11
30053	11
30081	11
32013	11
32023	11
33009	11
35043	11
41023	11
42003	11
48215	11
49037	11
49047	11
53015	11
53047	11
56001	11
56039	11
6013	10
6019	10
6061	10
6087	10
6107	10
8051	10
12099	10
16037	10
18097	10
20015	10
22019	10
23025	10
26081	10
27053	10
30015	10
35007	10
35045	10
35057	10
41041	10
41063	10
46103	10
48355	10
49025	10
49035	10
53007	10
53009	10
56033	10
56035	10
2230	9
4015	9
6007	9
6063	9
8031	9
8071	9
19049	9
19193	9
20029	9
20161	9
20173	9
23021	9
25009	9
25023	9
26041	9
26091	9
26161	9
29047	9
30035	9
30067	9
30089	9
33011	9
35015	9
35039	9
35053	9
37021	9
37183	9
40071	9
40083	9
40119	9
41033	9
41043	9
41045	9
49043	9
49049	9
49053	9
53039	9
53049	9
53053	9
55131	9
56037	9
2198	8
5097	8
6039	8
6049	8
6055	8
6115	8
8045	8
8049	8
8067	8
8085	8
8125	8
12011	8
12021	8
19169	8
20035	8
20099	8
20177	8
22079	8
23017	8
25001	8
26029	8
28047	8
