id	rate
6073	46
15009	25
41039	24
32013	23
23003	21
41045	19
53025	19
41029	18
4019	17
6023	17
6037	17
4003	16
23029	16
6029	14
6065	14
6081	14
6107	14
15001	14
41025	14
41037	14
55085	14
15003	13
35006	13
35017	13
53065	13
1109	12
56029	12
4009	11
15007	11
36103	11
41019	11
53075	11
2290	10
6019	10
6071	10
12105	10
16035	10
30029	10
30063	10
35031	10
36119	10
41001	10
41035	10
45049	10
48453	10
49037	10
4005	9
4025	9
6093	9
23019	9
30053	9
30081	9
38023	9
41011	9
49045	9
53033	9
53039	9
53073	9
56001	9
56013	9
56023	9
1013	8
4013	8
4017	8
6085	8
6089	8
8077	8
23005	8
25005	8
26163	8
30013	8
30049	8
30089	8
35049	8
41017	8
41023	8
48325	8
49027	8
56007	8
2230	7
12031	7
12087	7
12091	7
13287	7
16023	7
16037	7
22057	7
26043	7
26103	7
27137	7
30041	7
30105	7
31013	7
35003	7
36033	7
41009	7
49035	7
53007	7
53017	7
53047	7
4007	6
4027	6
5009	6
6017	6
6027	6
8045	6
8081	6
8123	6
12055	6
12115	6
13025	6
16079	6
22079	6
25017	6
25027	6
26029	6
31161	6
32007	6
32023	6
33013	6
35039	6
35045	6
40153	6
41031	6
41043	6
41049	6
47097	6
48163	6
48355	6
48477	6
49003	6
49005	6
49021	6
49047	6
53009	6
53021	6
53043	6
53063	6
1097	5
2122	5
2261	5
4001	5
4011	5
4015	5
4021	5
6049	5
6067	5
6105	5
8041	5
8101	5
12033	5
12039	5
12069	5
13243	5
16067	5
16085	5
17103	5
17115	5
19043	5
22115	5
23021	5
24045	5
28015	5
28151	5
29179	5
29223	5
30017	5
30057	5
30067	5
30071	5
31041	5
31111	5
32011	5
32027	5
33009	5
35005	5
35043	5
36069	5
36115	5
37069	5
38053	5
40005	5
41033	5
41047	5
41051	5
41053	5
41055	5
45045	5
45085	5
46007	5
48007	5
48017	5
48051	5
48061	5
48065	5
48167	5
48283	5
48321	5
48377	5
48439	5
48465	5
48483	5
49019	5
49039	5
49049	5
53005	5
53027	5
53041	5
53071	5
53077	5
56025	5
56033	5
56041	5
1011	4
1053	4
1091	4
1123	4
2170	4
2240	4
4023	4
6001	4
6013	4
6025	4
6043	4
6069	4
6087	4
12001	4
12003	4
12011	4
12061	4
12127	4
13159	4
13277	4
16001	4
16019	4
16031	4
16049	4
16055	4
16059	4
16077	4
16083	4
17019	4
17077	4
17089	4
17125	4
18091	4
19005	4
19041	4
19179	4
21175	4
22019	4
26027	4
27007	4
28093	4
29009	4
30001	4
30003	4
30009	4
30045	4
30059	4
30079	4
32033	4
33007	4
33011	4
34001	4
35015	4
35019	4
35053	4
36015	4
36113	4
37031	4
37083	4
37129	4
38049	4
40117	4
41003	4
41013	4
41057	4
41063	4
45019	4
46129	4
48021	4
48043	4
48069	4
48075	4
48091	4
48131	4
48143	4
48149	4
48201	4
48309	4
48437	4
48469	4
49001	4
49017	4
49023	4
49057	4
53051	4
55011	4
56021	4
56043	4
1017	3
1031	3
1041	3
1067	3
1073	3
1111	3
2013	3
2016	3
2060	3
2185	3
5051	3
6015	3
6053	3
6055	3
6057	3
6075	3
6077	3
6083	3
6091	3
6097	3
8003	3
8063	3
8067	3
8105	3
9003	3
9005	3
9011	3
12017	3
12037	3
12045	3
12047	3
12057	3
12067	3
12079	3
12086	3
12109	3
13065	3
13115	3
13219	3
13245	3
13261	3
13267	3
13275	3
13301	3
15003	3
16003	3
16013	3
16025	3
16027	3
16069	3
16073	3
17073	3
17167	3
17185	3
17201	3
18167	3
18183	3
19017	3
19061	3
19089	3
20001	3
22037	3
22067	3
22103	3
26013	3
26021	3
26047	3
26075	3
26077	3
27027	3
27035	3
27105	3
27155	3
28047	3
28097	3
28107	3
28131	3
29059	3
30023	3
30027	3
30035	3
30047	3
30055	3
30061	3
30077	3
30091	3
30093	3
30103	3
32009	3
32015	3
34019	3
35013	3
35023	3
35027	3
35037	3
36025	3
36027	3
37055	3
37101	3
37111	3
37145	3
38055	3
38073	3
38105	3
39015	3
39175	3
40085	3
40101	3
40143	3
41005	3
42071	3
42127	3
42129	3
45003	3
45007	3
45063	3
45065	3
46035	3
46047	3
47059	3
47113	3
48079	3
48085	3
48093	3
48177	3
48195	3
48205	3
48215	3
48245	3
48249	3
48279	3
48295	3
48311	3
48329	3
48357	3
48385	3
48427	3
48429	3
48489	3
