id	rate
01129	109
05079	107
01073	81
06033	74
13305	64
08111	60
08093	60
08035	60
01059	57
06071	52
01071	52
05053	52
05019	47
30009	46
04003	46
08027	46
17035	44
08045	43
01089	43
01093	41
08043	41
20179	41
04005	39
04013	37
08001	37
04015	36
06037	36
05033	35
01099	35
06023	35
32007	34
02290	34
24047	33
16081	32
01081	32
01101	32
20101	32
15001	31
04019	31
22023	30
04009	30
23003	30
06027	29
33007	29
41045	29
06073	29
05071	28
16019	28
04001	28
01079	28
49027	28
04025	28
01095	28
02170	27
02122	27
08123	27
41025	27
12021	26
17095	26
04027	26
17009	26
06019	26
05139	25
08041	25
04007	25
41013	25
04017	25
13075	24
26033	24
05061	24
20139	24
08077	24
05083	23
19119	23
01057	23
01067	23
23025	22
06007	22
49045	22
06065	22
17131	21
49023	21
30003	21
48065	21
26071	21
06093	21
25025	21
06029	21
06107	21
12107	20
35057	20
48043	20
04021	20
20181	20
01027	20
05015	20
35006	20
16071	20
32031	19
31037	19
01063	19
02261	19
17113	19
49049	19
16013	19
35003	19
30049	19
36001	19
05007	19
56037	19
17059	18
08017	18
17027	18
01019	18
05137	18
35053	18
18003	18
35039	18
22115	18
25005	18
05113	18
02164	17
48157	17
02020	17
20177	17
30075	17
06083	17
48439	17
32023	17
49047	17
27137	17
49035	17
30013	17
13159	17
23019	17
53073	17
13301	17
01109	17
15009	17
23031	16
36089	16
30087	16
09003	16
17019	16
41033	16
05107	16
35023	16
49005	16
20003	16
19059	16
33015	16
19197	15
21043	15
05145	15
08085	15
27113	15
29215	15
06059	15
08067	15
35037	15
08101	15
18035	15
17089	15
17125	15
35049	15
01013	15
35031	15
41035	15
12031	15
12003	15
20129	15
48431	15
10001	14
12015	14
13139	14
29165	14
06047	14
17071	14
41059	14
01117	14
12086	14
17159	14
01113	14
16059	14
35015	14
56043	14
05127	14
12047	14
22059	14
35005	14
26103	14
06089	14
01069	14
24001	14
08113	13
17053	13
19149	13
48451	13
05133	13
08051	13
08117	13
35061	13
39173	13
01031	13
20051	13
35009	13
48279	13
49015	13
56017	13
16049	13
25009	13
31109	13
40007	13
56021	13
06067	13
21037	13
38105	13
01103	13
08081	13
12115	13
19113	13
05009	13
08011	13
35021	13
01049	12
01115	12
08115	12
12077	12
30085	12
01005	12
08083	12
19167	12
42079	12
05099	12
17105	12
20033	12
48079	12
55079	12
41063	12
33009	12
41051	12
45045	12
48321	12
26029	12
31013	12
20071	12
31063	12
12099	11
20153	11
25001	11
48111	11
02090	11
08009	11
13169	11
23011	11
35025	11
37087	11
55113	11
09011	11
30055	11
35013	11
16083	11
17201	11
30045	11
48465	11
08049	11
01087	11
09007	11
53039	11
30029	11
30063	11
48453	11
01111	11
15003	11
20127	11
48371	11
48399	11
05119	10
08089	10
31007	10
48349	10
48495	10
15007	10
08061	10
12117	10
17069	10
20137	10
26049	10
35011	10
48059	10
48229	10
05073	10
08063	10
13019	10
13275	10
19061	10
48489	10
56015	10
01051	10
06001	10
12011	10
37119	10
49057	10
06049	10
13115	10
32027	10
48167	10
56025	10
48355	10
49003	10
17017	10
39103	10
48269	10
16085	10
04012	10
05017	10
08069	10
35055	10
48481	10
55111	10
01125	9
08015	9
09001	9
13015	9
13141	9
19151	9
26137	9
29087	9
37021	9
40151	9
45029	9
48095	9
05049	9
06079	9
13083	9
25021	9
30039	9
45051	9
49013	9
08105	9
16073	9
17047	9
22027	9
37055	9
48205	9
16077	9
26111	9
32033	9
35019	9
06091	9
37111	9
46007	9
06017	9
13309	9
13229	9
16061	9
05027	9
05125	9
13215	9
20017	9
21027	9
42083	9
48081	9
48503	9
01025	8
02110	8
13161	8
17063	8
19117	8
21013	8
21061	8
28049	8
31031	8
36029	8
46023	8
46055	8
47021	8
48039	8
49051	8
01127	8
08019	8
08071	8
12073	8
12093	8
13307	8
16021	8
17161	8
17195	8
34009	8
40127	8
48087	8
48457	8
06053	8
13205	8
18061	8
18167	8
30035	8
30093	8
38101	8
48427	8
51001	8
02240	8
05117	8
13145	8
30001	8
48069	8
48437	8
01097	8
04011	8
13063	8
16067	8
36069	8
48017	8
48051	8
49039	8
40153	8
02230	8
12057	8
13287	8
30041	8
01053	8
30081	8
16035	8
01105	8
05043	8
08099	8
20019	8
30037	8
36111	8
37059	8
48369	8
49031	8
54077	8
08029	7
13259	7
16011	7
20119	7
20207	7
27045	7
29053	7
31087	7
37047	7
45075	7
01007	7
05149	7
16053	7
17043	7
18037	7
20069	7
20183	7
21033	7
21201	7
